City,Cloudiness,Date,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (MPH)
zatoka,75,,87,50,50,43,2
bethel,40,,65,60,60,43,18
barrow,24,,85,-38,-38,57,12
aksu,90,,100,52,52,28,6
tiksi,64,,77,71,71,4,4
norman wells,75,,64,65,65,33,16
avarua,76,,94,-21,-21,78,16
havelock,1,,57,34,34,50,9
rikitea,80,,97,-23,-23,79,17
punta arenas,75,,87,-53,-53,52,3
hilo,40,,61,19,19,73,13
ushuaia,40,,62,-54,-54,51,9
grand river south east,0,,0,0,0,0,0
umm jarr,0,,0,0,0,0,0
samarai,92,,100,-10,-10,78,7
plouzane,0,,93,48,48,46,8
port alfred,0,,96,-33,-33,69,16
upernavik,24,,100,72,72,-10,8
biak,68,,89,0,0,81,2
hobart,20,,64,-42,-42,66,10
mrirt,0,,0,0,0,0,0
severo-kurilsk,88,,99,50,50,30,19
swan river,0,,75,52,52,36,13
port elizabeth,1,,45,39,39,45,10
carnarvon,76,,21,-30,-30,69,4
cidreira,0,,93,-30,-30,64,6
khurba,0,,53,50,50,15,3
cape town,0,,93,-33,-33,65,6
umzimvubu,0,,0,0,0,0,0
mumford,0,,91,5,5,76,4
sept-iles,90,,63,50,50,28,6
kalach-na-donu,75,,90,48,48,33,15
cabo san lucas,5,,53,22,22,72,8
vestmannaeyjar,44,,100,63,63,36,22
bilma,68,,13,18,18,74,11
vaini,0,,60,15,15,68,0
kiruna,32,,86,67,67,33,17
boa vista,0,,43,2,2,87,8
ulaangom,0,,59,49,49,-3,2
mataura,92,,51,-46,-46,70,5
qaanaaq,20,,78,77,77,-26,10
kismayo,0,,0,0,0,0,0
saint george,0,,80,39,39,41,4
sao filipe,0,,98,14,14,69,13
topeka,90,,71,39,39,53,16
taolanaro,0,,0,0,0,0,0
isangel,90,,74,-19,-19,84,6
lebu,20,,51,8,8,59,4
poum,0,,81,41,41,31,1
marcona,0,,0,0,0,0,0
manggar,80,,100,-2,-2,76,5
yerbogachen,44,,60,61,61,6,6
castro,90,,76,-42,-42,53,4
semey,20,,92,50,50,26,2
vardo,1,,35,39,39,42,11
yellowknife,20,,43,62,62,11,10
abonnema,24,,94,4,4,73,4
komsomolskiy,88,,90,67,67,19,18
hermanus,68,,95,-34,-34,63,2
bluff,0,,63,-23,-23,83,5
nikolskoye,90,,86,59,59,38,6
wanxian,92,,99,30,30,39,3
dikson,76,,93,73,73,18,23
abu samrah,24,,78,35,35,50,4
rostovka,0,,92,55,55,17,4
butaritari,76,,100,3,3,80,8
